"";"Timestamp";"Gender";"Age";"City";"Profession";"Education";"Spread";"Emotion_Unbalance";"Places";"Holiday";"Counter";"Combat";"Equiped";"Safe";"Fear_Index";"Government_Efficiency";"Fear_on_Holiday";"Rumors_Impact";"NewSafeData";"NewAgeGroup";"NewEducation"
"26";"2/22/2017 19:42:32";"Male";"25-35";"Bangalore";"Employee at an organisation";"Graduate";"3";"3";"4";"3";"2";"2";"3";"3";57,5;-0,967099370206476;-0,927176518990726;0,320597271587171;"Neutral";"25-35";"Graduate"
"27";"2/22/2017 19:43:50";"Female";"35-45";"Mumbai ";"Employee at an organisation";"Post Graduate";"5";"5";"5";"3";"5";"4";"5";"5";92,5;1,30308835544159;1,15376856911202;0,568243173153783;"Unsafe";"35-45";"Post Graduate"
"28";"2/22/2017 19:50:08";"Female";"25-35";"Mumbai ";"Self Employed";"Post Graduate";"4";"3";"4";"2";"3";"3";"3";"2";60;-0,385208430689465;-0,117204866859062;-0,75272424734437;"Safe";"25-35";"Post Graduate"
"29";"2/22/2017 19:51:55";"Female";"25-35";"Mumbai ";"Teacher";"Post Graduate";"4";"4";"4";"1";"2";"3";"3";"2";57,5;-0,45956289742903;-0,0839449970002573;-1,32347235300734;"Safe";"25-35";"Post Graduate"
"30";"2/22/2017 19:52:24";"Male";"15-25";"Mumbai ";"Self Employed";"Post Graduate";"4";"4";"4";"3";"2";"2";"3";"4";65;-0,931086799229941;0,0619727231908508;0,405946530980605;"Unsafe";"15-25";"Post Graduate"
"31";"2/22/2017 19:52:44";"Female";"35-45";"Ipswich";"Self Employed";"Masters";"3";"4";"4";"3";"3";"2";"2";"3";60;-1,13853329487878;-0,724087466218162;0,321154777884196;"Neutral";"35-45";"Post Graduate"
"32";"2/22/2017 19:55:47";"Male";"25-35";"Mumbai ";"Employee at an organisation";"Masters";"4";"4";"4";"1";"4";"5";"4";"2";70;1,20258326995298;-0,12160816226774;-1,28254771152286;"Safe";"25-35";"Post Graduate"
"33";"2/22/2017 19:56:45";"Male";"15-25";"Mumbai ";"Employee at an organisation";"Graduate";"4";"3";"5";"3";"4";"3";"3";"3";70;-0,20235279642886;0,117086006439195;0,138778690294685;"Neutral";"15-25";"Graduate"
"34";"2/22/2017 19:57:46";"Male";"25-35";"Gurgaon";"Working in a government organisation";"Masters";"3";"3";"4";"3";"3";"3";"3";"3";62,5;-0,311512810245288;-0,92975866366359;0,329005689217925;"Neutral";"25-35";"Post Graduate"
"35";"2/22/2017 19:58:59";"Male";"15-25";"Mumbai ";"Student";"Post Graduate";"4";"3";"5";"2";"2";"3";"4";"3";65;-0,105273338496123;-0,0527431764745642;-0,432526921665312;"Neutral";"15-25";"Post Graduate"
"36";"2/22/2017 19:59:24";"Male";"25-35";"Mumbai ";"Employee at an organisation";"Masters";"4";"3";"5";"2";"3";"3";"3";"2";62,5;-0,388603189181874;0,0352326592903777;-0,719460608757246;"Safe";"25-35";"Post Graduate"
"37";"2/22/2017 20:01:00";"Male";"25-35";"Mumbai ";"Employee at an organisation";"Graduate";"5";"3";"1";"2";"4";"3";"4";"2";60;0,0885036645562343;0,287390822724212;-1,05189799439313;"Safe";"25-35";"Graduate"
"38";"2/22/2017 20:01:03";"Male";"15-25";"Mumbai ";"Employee at an organisation";"Post Graduate";"5";"4";"3";"3";"5";"4";"5";"3";80;1,07718701584109;0,768886140869318;-0,0272524747635409;"Neutral";"15-25";"Post Graduate"
"39";"2/22/2017 20:03:45";"Female";"15-25";"Mumbai ";"Student";"Post Graduate";"5";"4";"4";"4";"3";"3";"3";"2";70;-0,715956120613996;1,10022635525276;0,367369485120251;"Safe";"15-25";"Post Graduate"
"40";"2/22/2017 20:03:49";"Female";"35-45";"Mumbai ";"Employee at an organisation";"Masters";"4";"4";"4";"2";"4";"2";"4";"3";67,5;-0,201049762486065;0,00873385645845523;-0,492231072392868;"Neutral";"35-45";"Post Graduate"
"41";"2/22/2017 20:03:52";"Male";"25-35";"Mumbai ";"Employee at an organisation";"Graduate";"5";"3";"4";"3";"3";"3";"4";"2";67,5;-0,233101403431343;0,820920351826362;-0,292647549904266;"Safe";"25-35";"Graduate"
"42";"2/22/2017 20:04:05";"Female";"15-25";"Mumbai ";"Employee at an organisation";"Graduate";"3";"4";"4";"4";"3";"3";"3";"4";70;-0,32259954939644;-0,718057377222745;1,25460770781954;"Unsafe";"15-25";"Graduate"
"43";"2/22/2017 20:04:37";"Female";"15-25";"Mumbai ";"Student";"UnderGraduate";"4";"4";"4";"4";"4";"4";"3";"4";77,5;0,257103655527834;0,153396503278344;1,06087419145476;"Unsafe";"15-25";"UnderGraduate"
"44";"2/22/2017 20:08:14";"Male";"15-25";"Mumbai ";"Self Employed";"Graduate";"4";"4";"5";"1";"3";"3";"3";"1";60;-0,395314459147552;0,123969488992371;-1,55303459528917;"Safe";"15-25";"Graduate"
"45";"2/22/2017 20:08:15";"Male";"15-25";"Mumbai ";"Employee at an organisation";"Masters";"4";"4";"4";"2";"4";"4";"4";"3";72,5;0,73324710274481;-0,0371726704460578;-0,432716830101681;"Neutral";"15-25";"Post Graduate"
"46";"2/22/2017 20:08:22";"Male";"25-35";"Mumbai ";"Employee at an organisation";"Graduate";"3";"4";"5";"2";"4";"2";"2";"3";62,5;-0,830507260860835;-0,647866890722553;-0,305041112256172;"Neutral";"25-35";"Graduate"
"47";"2/22/2017 20:09:06";"Male";"15-25";"Mumbai ";"Student";"Post Graduate";"5";"4";"4";"4";"4";"5";"4";"2";80;0,757751919422267;1,04219207120588;0,429642830119575;"Safe";"15-25";"Post Graduate"
"48";"2/22/2017 20:09:26";"Male";"15-25";"Mumbai ";"Student";"UnderGraduate";"2";"4";"4";"2";"3";"3";"3";"1";55;-0,363135655745917;-1,67995201807175;-0,543903540672597;"Safe";"15-25";"UnderGraduate"
"49";"2/22/2017 20:10:01";"Male";"15-25";"Kanpur";"Student";"Graduate";"5";"3";"4";"2";"3";"4";"3";"2";65;0,00605664688905796;0,733877894862636;-0,925109060194302;"Safe";"15-25";"Graduate"
"50";"2/22/2017 20:10:09";"Male";"15-25";"Mumbai ";"Student";"Post Graduate";"4";"3";"4";"2";"4";"4";"4";"3";70;0,742146107303225;-0,187391728517477;-0,478730846136522;"Neutral";"15-25";"Post Graduate"
"51";"2/22/2017 20:10:09";"Female";"25-35";"Mumbai ";"Employee at an organisation";"Masters";"4";"4";"4";"5";"2";"3";"4";"3";72,5;-0,479725580055932;0,234802563747083;1,49455593142036;"Neutral";"25-35";"Post Graduate"
"52";"2/22/2017 20:11:54";"Female";"15-25";"Mumbai ";"Student";"UnderGraduate";"4";"4";"5";"3";"3";"3";"4";"4";75;0,0720780496984764;0,179329228745672;0,471726393421459;"Unsafe";"15-25";"UnderGraduate"
"53";"2/22/2017 20:12:20";"Male";"15-25";"Mumbai ";"Employee at an organisation";"Graduate";"4";"3";"5";"4";"4";"4";"4";"4";80;0,613580949053478;0,123116095434611;1,07223162023002;"Unsafe";"15-25";"Graduate"
"54";"2/22/2017 20:12:46";"Male";"15-25";"Mumbai ";"Employee at an organisation";"Post Graduate";"4";"4";"4";"2";"3";"4";"4";"2";67,5;0,424014044827195;-0,0224379481616527;-0,652845303940959;"Safe";"15-25";"Post Graduate"
"55";"2/22/2017 20:14:57";"Male";"15-25";"Pune";"Employee at an organisation";"Post Graduate";"5";"5";"5";"2";"5";"5";"2";"4";82,5;0,71950538027085;1,1668297050556;-0,353911126936323;"Unsafe";"15-25";"Post Graduate"
"56";"2/22/2017 20:15:08";"Female";"15-25";"Surat";"Student";"UnderGraduate";"3";"4";"4";"3";"4";"4";"3";"2";67,5;0,214379814585621;-0,747015909201239;0,141950945529402;"Safe";"15-25";"UnderGraduate"
"57";"2/22/2017 20:16:17";"Female";"15-25";"Mumbai ";"Student";"UnderGraduate";"3";"2";"4";"2";"4";"5";"4";"2";65;1,17328196894213;-1,19949423415131;-0,534322984384363;"Safe";"15-25";"UnderGraduate"
"58";"2/22/2017 20:18:11";"Male";"25-35";"Mumbai ";"Employee at an organisation";"Post Graduate";"4";"4";"4";"4";"3";"4";"2";"2";67,5;-0,523897380421283;0,235735942548299;0,575160734038392;"Safe";"25-35";"Post Graduate"
"59";"2/22/2017 20:20:48";"Male";"15-25";"Mumbai ";"Student";"UnderGraduate";"5";"4";"4";"4";"4";"3";"3";"3";75;-0,406723062696382;1,08549163296835;0,587497958959529;"Neutral";"15-25";"UnderGraduate"
